Question,Option1,Option2,Option3,Option4,CorrectOptionIndex,CashReward,Penalty
What is 30% of 197?,58,50,59,64,2,300,150
What is 40% of 495?,194,198,206,202,1,800,400
Solve: x + 4 = 12,8,6,-1,17,0,1300,650
What is 49 ÷ 7?,13,14,14,7,3,900,450
What is 38 x 20?,765,764,756,760,3,1000,500
What is 140 ÷ 14?,3,19,16,10,3,700,350
Solve: x + 10 = 20,3,10,13,9,1,100,50
What is 40% of 180?,75,65,80,72,3,1100,550
Solve: x + 8 = 18,8,13,4,10,3,100,50
What is 132 + 153 + 181?,470,466,467,471,1,100,50
What is 177 - 50 - 21?,102,106,110,100,1,1200,600
What is 30% of 421?,130,126,127,125,1,800,400
What is 163 + 119 + 135?,420,417,425,418,1,1500,750
What is 221 ÷ 17?,13,5,15,23,0,500,250
What is 35 x 23?,809,808,805,815,2,700,350
What is 30% of 334?,108,90,100,103,2,1100,550
What is 133 - 61 - 24?,58,43,41,48,3,1300,650
What is 20 ÷ 10?,-8,2,5,0,1,1000,500
Solve: x + 7 = 26,18,19,26,18,1,1300,650
What is 122 - 44 - 20?,59,58,64,50,1,1700,850
What is 78 + 157 + 91?,326,319,336,320,0,1800,900
What is 10% of 345?,28,35,41,34,3,1400,700
What is 298 - 22 - 11?,257,269,270,265,3,1100,550
Solve: x + 6 = 20,17,14,13,7,1,1200,600
Solve: x + 2 = 20,18,21,24,28,0,1100,550
What is 38 x 16?,608,601,606,616,0,800,400
What is 150 ÷ 15?,15,7,10,5,2,700,350
What is 20% of 276?,51,58,57,55,3,600,300
What is 20% of 140?,23,30,19,28,3,1300,650
What is 24 ÷ 12?,1,7,2,6,2,800,400
What is 110 - 60 - 23?,31,27,29,33,1,600,300
What is 17 x 11?,190,187,188,196,1,600,300
What is 12 x 10?,110,124,123,120,3,100,50
Solve: x + 8 = 26,18,24,14,21,0,1200,600
What is 260 - 67 - 20?,171,168,172,173,3,1700,850
What is 10% of 264?,20,21,21,26,3,2000,1000
